Identificador Usuario,Tipo Suscripción,Ingresos Mensuales,Día Suscripción,Mes Suscripción,Año Suscripción,Fecha Suscripción,Día Último Pago,Mes Último Pago,Año Último Pago,Semana suscripción,Fecha Último Pago,Meses contratados,Ingresos totales,País,País2,Edad,Género,Dispositivo,Duración Plan,Duplicados,Duracion Plan (Meses),Tipo Plan,id_cliente,fecha,importe,producto,mes,año
8,Básica,11,2,4,24,2024-04-02,1900-01-24,1900-01-06,1900-01-24,martes,2024-06-24,3,33,EEUU,EEUU,39,Femenino,Ordenador,3 Meses,0,3,Trimestral,8,2029-12-09,385,Plan Premium,12,2029
8,Básica,11,2,4,24,2024-04-02,1900-01-24,1900-01-06,1900-01-24,martes,2024-06-24,3,33,EEUU,EEUU,39,Femenino,Ordenador,3 Meses,0,3,Trimestral,8,2032-04-28,407,Plan Básico,4,2032
10,Premium,15,7,1,24,2024-01-07,1900-01-22,1900-01-06,1900-01-24,domingo,2024-06-22,6,90,Italia,Italia,44,Femenino,Smart TV,12 Meses,0,12,Anual,10,2024-08-26,60,Plan Premium,8,2024
10,Premium,15,7,1,24,2024-01-07,1900-01-22,1900-01-06,1900-01-24,domingo,2024-06-22,6,90,Italia,Italia,44,Femenino,Smart TV,12 Meses,0,12,Anual,10,2025-04-28,139,Plan Estándar,4,2025
10,Premium,15,7,1,24,2024-01-07,1900-01-22,1900-01-06,1900-01-24,domingo,2024-06-22,6,90,Italia,Italia,44,Femenino,Smart TV,12 Meses,0,12,Anual,10,2028-02-17,119,Plan Básico,2,2028
10,Premium,15,7,1,24,2024-01-07,1900-01-22,1900-01-06,1900-01-24,domingo,2024-06-22,6,90,Italia,Italia,44,Femenino,Smart TV,12 Meses,0,12,Anual,10,2032-05-22,43,Plan Premium,5,2032
10,Premium,15,7,1,24,2024-01-07,1900-01-22,1900-01-06,1900-01-24,domingo,2024-06-22,6,90,Italia,Italia,44,Femenino,Smart TV,12 Meses,0,12,Anual,10,2032-09-19,424,Plan Básico,9,2032
11,Básica,11,16,5,23,2023-05-16,1900-01-22,1900-01-06,1900-01-24,martes,2024-06-22,14,154,Reino Unido,Reino Unido,31,Femenino,Smartphone,3 Meses,0,3,Trimestral,11,2025-08-04,448,Plan Básico,8,2025
11,Básica,11,16,5,23,2023-05-16,1900-01-22,1900-01-06,1900-01-24,martes,2024-06-22,14,154,Reino Unido,Reino Unido,31,Femenino,Smartphone,3 Meses,0,3,Trimestral,11,2026-07-15,317,Plan Básico,7,2026
11,Básica,11,16,5,23,2023-05-16,1900-01-22,1900-01-06,1900-01-24,martes,2024-06-22,14,154,Reino Unido,Reino Unido,31,Femenino,Smartphone,3 Meses,0,3,Trimestral,11,2034-09-05,137,Plan Estándar,9,2034
12,Premium,15,23,3,24,2024-03-23,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,4,60,Australia,Australia,45,Masculino,Tablet,12 Meses,0,12,Anual,12,2024-03-15,128,Plan Básico,3,2024
12,Premium,15,23,3,24,2024-03-23,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,4,60,Australia,Australia,45,Masculino,Tablet,12 Meses,0,12,Anual,12,2026-04-07,198,Plan Estándar,4,2026
12,Premium,15,23,3,24,2024-03-23,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,4,60,Australia,Australia,45,Masculino,Tablet,12 Meses,0,12,Anual,12,2027-12-15,154,Plan Premium,12,2027
12,Premium,15,23,3,24,2024-03-23,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,4,60,Australia,Australia,45,Masculino,Tablet,12 Meses,0,12,Anual,12,2028-06-24,487,Plan Estándar,6,2028
12,Premium,15,23,3,24,2024-03-23,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,4,60,Australia,Australia,45,Masculino,Tablet,12 Meses,0,12,Anual,12,2036-06-27,394,Plan Básico,6,2036
13,Estándar,13,30,11,22,2022-11-30,1900-01-27,1900-01-06,1900-01-24,miércoles,2024-06-27,19,247,Alemania,Alemania,48,Femenino,Ordenador,3 Meses,0,3,Trimestral,13,2034-06-14,392,Plan Estándar,6,2034
13,Estándar,13,30,11,22,2022-11-30,1900-01-27,1900-01-06,1900-01-24,miércoles,2024-06-27,19,247,Alemania,Alemania,48,Femenino,Ordenador,3 Meses,0,3,Trimestral,13,2035-01-08,472,Plan Estándar,1,2035
14,Básica,10,1,8,23,2023-08-01,1900-01-26,1900-01-06,1900-01-24,martes,2024-06-26,11,110,Australia,Australia,27,Masculino,Smartphone,3 Meses,0,3,Trimestral,14,2027-05-10,242,Plan Estándar,5,2027
14,Básica,10,1,8,23,2023-08-01,1900-01-26,1900-01-06,1900-01-24,martes,2024-06-26,11,110,Australia,Australia,27,Masculino,Smartphone,3 Meses,0,3,Trimestral,14,2027-07-21,287,Plan Básico,7,2027
16,Premium,15,7,4,23,2023-04-07,1900-01-27,1900-01-06,1900-01-24,viernes,2024-06-27,15,225,Australia,Australia,36,Masculino,Tablet,1 Mes,0,1,Mensual,16,2026-05-23,74,Plan Premium,5,2026
16,Premium,15,7,4,23,2023-04-07,1900-01-27,1900-01-06,1900-01-24,viernes,2024-06-27,15,225,Australia,Australia,36,Masculino,Tablet,1 Mes,0,1,Mensual,16,2036-06-05,195,Plan Estándar,6,2036
20,Básica,11,27,5,24,2024-05-27,1900-01-22,1900-01-06,1900-01-24,lunes,2024-06-22,1,11,Italia,Italia,41,Masculino,Tablet,1 Mes,0,1,Mensual,20,2023-11-26,439,Plan Estándar,11,2023
21,Premium,15,10,6,24,2024-06-10,1900-01-22,1900-01-06,1900-01-24,lunes,2024-06-22,1,15,EEUU,EEUU,26,Femenino,Ordenador,12 Meses,0,12,Anual,21,2027-01-05,50,Plan Básico,1,2027
21,Premium,15,10,6,24,2024-06-10,1900-01-22,1900-01-06,1900-01-24,lunes,2024-06-22,1,15,EEUU,EEUU,26,Femenino,Ordenador,12 Meses,0,12,Anual,21,2027-12-27,350,Plan Básico,12,2027
22,Básica,10,22,7,23,2023-07-22,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,12,120,Canadá,Canadá,34,Masculino,Smartphone,1 Mes,0,1,Mensual,22,2023-01-23,55,Plan Estándar,1,2023
22,Básica,10,22,7,23,2023-07-22,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,12,120,Canadá,Canadá,34,Masculino,Smartphone,1 Mes,0,1,Mensual,22,2026-12-04,50,Plan Premium,12,2026
22,Básica,10,22,7,23,2023-07-22,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,12,120,Canadá,Canadá,34,Masculino,Smartphone,1 Mes,0,1,Mensual,22,2027-05-04,357,Plan Estándar,5,2027
22,Básica,10,22,7,23,2023-07-22,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,12,120,Canadá,Canadá,34,Masculino,Smartphone,1 Mes,0,1,Mensual,22,2031-05-23,190,Plan Básico,5,2031
22,Básica,10,22,7,23,2023-07-22,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,12,120,Canadá,Canadá,34,Masculino,Smartphone,1 Mes,0,1,Mensual,22,2033-02-04,102,Plan Básico,2,2033
22,Básica,10,22,7,23,2023-07-22,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,12,120,Canadá,Canadá,34,Masculino,Smartphone,1 Mes,0,1,Mensual,22,2035-08-05,111,Plan Estándar,8,2035
23,Estándar,13,5,12,22,2022-12-05,1900-01-27,1900-01-06,1900-01-24,lunes,2024-06-27,19,247,Canadá,Canadá,49,Femenino,Smart TV,12 Meses,0,12,Anual,23,2029-03-12,230,Plan Premium,3,2029
23,Estándar,13,5,12,22,2022-12-05,1900-01-27,1900-01-06,1900-01-24,lunes,2024-06-27,19,247,Canadá,Canadá,49,Femenino,Smart TV,12 Meses,0,12,Anual,23,2031-10-04,398,Plan Estándar,10,2031
25,Básica,11,14,3,24,2024-03-14,1900-01-28,1900-01-06,1900-01-24,jueves,2024-06-28,4,44,España,España,40,Femenino,Ordenador,1 Mes,0,1,Mensual,25,2025-09-27,181,Plan Premium,9,2025
25,Básica,11,14,3,24,2024-03-14,1900-01-28,1900-01-06,1900-01-24,jueves,2024-06-28,4,44,España,España,40,Femenino,Ordenador,1 Mes,0,1,Mensual,25,2026-03-25,371,Plan Premium,3,2026
25,Básica,11,14,3,24,2024-03-14,1900-01-28,1900-01-06,1900-01-24,jueves,2024-06-28,4,44,España,España,40,Femenino,Ordenador,1 Mes,0,1,Mensual,25,2031-06-11,56,Plan Básico,6,2031
25,Básica,11,14,3,24,2024-03-14,1900-01-28,1900-01-06,1900-01-24,jueves,2024-06-28,4,44,España,España,40,Femenino,Ordenador,1 Mes,0,1,Mensual,25,2033-03-13,356,Plan Básico,3,2033
26,Premium,15,12,1,23,2023-01-12,1900-01-27,1900-01-06,1900-01-24,jueves,2024-06-27,18,270,España,España,29,Masculino,Smartphone,1 Mes,0,1,Mensual,26,2032-02-11,179,Plan Premium,2,2032
28,Estándar,13,27,9,22,2022-09-27,1900-01-24,1900-01-06,1900-01-24,martes,2024-06-24,21,273,Francia,Francia,33,Masculino,Tablet,3 Meses,0,3,Trimestral,28,2025-01-15,438,Plan Básico,1,2025
28,Estándar,13,27,9,22,2022-09-27,1900-01-24,1900-01-06,1900-01-24,martes,2024-06-24,21,273,Francia,Francia,33,Masculino,Tablet,3 Meses,0,3,Trimestral,28,2027-07-28,382,Plan Básico,7,2027
29,Premium,15,19,12,23,2023-12-19,1900-01-23,1900-01-06,1900-01-24,martes,2024-06-23,7,105,Francia,Francia,36,Femenino,Ordenador,1 Mes,0,1,Mensual,29,2026-02-21,431,Plan Estándar,2,2026
29,Premium,15,19,12,23,2023-12-19,1900-01-23,1900-01-06,1900-01-24,martes,2024-06-23,7,105,Francia,Francia,36,Femenino,Ordenador,1 Mes,0,1,Mensual,29,2026-06-07,71,Plan Básico,6,2026
29,Premium,15,19,12,23,2023-12-19,1900-01-23,1900-01-06,1900-01-24,martes,2024-06-23,7,105,Francia,Francia,36,Femenino,Ordenador,1 Mes,0,1,Mensual,29,2026-12-17,123,Plan Estándar,12,2026
30,Básica,11,17,5,24,2024-05-17,1900-01-22,1900-01-06,1900-01-24,viernes,2024-06-22,2,22,Francia,Francia,42,Masculino,Smartphone,1 Mes,0,1,Mensual,30,2036-01-04,463,Plan Premium,1,2036
31,Premium,15,3,2,24,2024-02-03,1900-01-22,1900-01-06,1900-01-24,sábado,2024-06-22,5,75,Canadá,Canadá,28,Femenino,Smart TV,1 Mes,0,1,Mensual,31,2034-09-04,16,Plan Premium,9,2034
33,Estándar,13,21,1,23,2023-01-21,1900-01-27,1900-01-06,1900-01-24,sábado,2024-06-27,18,234,Reino Unido,Reino Unido,41,Femenino,Ordenador,1 Mes,0,1,Mensual,33,2032-01-03,113,Plan Estándar,1,2032
35,Básica,11,11,4,24,2024-04-11,1900-01-28,1900-01-06,1900-01-24,jueves,2024-06-28,3,33,Italia,Italia,39,Femenino,Smart TV,6 Meses,0,6,Semestral,35,2023-02-20,447,Plan Básico,2,2023
35,Básica,11,11,4,24,2024-04-11,1900-01-28,1900-01-06,1900-01-24,jueves,2024-06-28,3,33,Italia,Italia,39,Femenino,Smart TV,6 Meses,0,6,Semestral,35,2027-05-31,117,Plan Básico,5,2027
36,Premium,15,1,3,23,2023-03-01,1900-01-27,1900-01-06,1900-01-24,miércoles,2024-06-27,16,240,EEUU,EEUU,35,Masculino,Tablet,1 Mes,0,1,Mensual,36,2023-11-24,48,Plan Premium,11,2023
36,Premium,15,1,3,23,2023-03-01,1900-01-27,1900-01-06,1900-01-24,miércoles,2024-06-27,16,240,EEUU,EEUU,35,Masculino,Tablet,1 Mes,0,1,Mensual,36,2028-02-02,241,Plan Premium,2,2028
36,Premium,15,1,3,23,2023-03-01,1900-01-27,1900-01-06,1900-01-24,miércoles,2024-06-27,16,240,EEUU,EEUU,35,Masculino,Tablet,1 Mes,0,1,Mensual,36,2028-04-02,423,Plan Premium,4,2028
36,Premium,15,1,3,23,2023-03-01,1900-01-27,1900-01-06,1900-01-24,miércoles,2024-06-27,16,240,EEUU,EEUU,35,Masculino,Tablet,1 Mes,0,1,Mensual,36,2034-08-28,449,Plan Básico,8,2034
36,Premium,15,1,3,23,2023-03-01,1900-01-27,1900-01-06,1900-01-24,miércoles,2024-06-27,16,240,EEUU,EEUU,35,Masculino,Tablet,1 Mes,0,1,Mensual,36,2036-08-28,75,Plan Premium,8,2036
37,Básica,10,14,9,23,2023-09-14,1900-01-25,1900-01-06,1900-01-24,jueves,2024-06-25,10,100,EEUU,EEUU,45,Femenino,Ordenador,3 Meses,0,3,Trimestral,37,2024-04-08,348,Plan Básico,4,2024
37,Básica,10,14,9,23,2023-09-14,1900-01-25,1900-01-06,1900-01-24,jueves,2024-06-25,10,100,EEUU,EEUU,45,Femenino,Ordenador,3 Meses,0,3,Trimestral,37,2026-09-14,411,Plan Premium,9,2026
38,Estándar,13,5,11,22,2022-11-05,1900-01-24,1900-01-06,1900-01-24,sábado,2024-06-24,20,260,Australia,Australia,32,Masculino,Smartphone,1 Mes,0,1,Mensual,38,2026-09-07,349,Plan Básico,9,2026
39,Premium,15,28,12,23,2023-12-28,1900-01-23,1900-01-06,1900-01-24,jueves,2024-06-23,6,90,Canadá,Canadá,27,Femenino,Smart TV,12 Meses,0,12,Anual,39,2024-06-17,199,Plan Estándar,6,2024
39,Premium,15,28,12,23,2023-12-28,1900-01-23,1900-01-06,1900-01-24,jueves,2024-06-23,6,90,Canadá,Canadá,27,Femenino,Smart TV,12 Meses,0,12,Anual,39,2026-05-20,420,Plan Premium,5,2026
39,Premium,15,28,12,23,2023-12-28,1900-01-23,1900-01-06,1900-01-24,jueves,2024-06-23,6,90,Canadá,Canadá,27,Femenino,Smart TV,12 Meses,0,12,Anual,39,2026-12-27,490,Plan Básico,12,2026
39,Premium,15,28,12,23,2023-12-28,1900-01-23,1900-01-06,1900-01-24,jueves,2024-06-23,6,90,Canadá,Canadá,27,Femenino,Smart TV,12 Meses,0,12,Anual,39,2029-02-05,453,Plan Premium,2,2029
39,Premium,15,28,12,23,2023-12-28,1900-01-23,1900-01-06,1900-01-24,jueves,2024-06-23,6,90,Canadá,Canadá,27,Femenino,Smart TV,12 Meses,0,12,Anual,39,2034-08-25,31,Plan Premium,8,2034
40,Básica,11,7,3,24,2024-03-07,1900-01-22,1900-01-06,1900-01-24,jueves,2024-06-22,4,44,Italia,Italia,48,Masculino,Tablet,1 Mes,0,1,Mensual,40,2026-09-01,494,Plan Estándar,9,2026
40,Básica,11,7,3,24,2024-03-07,1900-01-22,1900-01-06,1900-01-24,jueves,2024-06-22,4,44,Italia,Italia,48,Masculino,Tablet,1 Mes,0,1,Mensual,40,2029-12-28,495,Plan Estándar,12,2029
40,Básica,11,7,3,24,2024-03-07,1900-01-22,1900-01-06,1900-01-24,jueves,2024-06-22,4,44,Italia,Italia,48,Masculino,Tablet,1 Mes,0,1,Mensual,40,2032-07-28,380,Plan Estándar,7,2032
40,Básica,11,7,3,24,2024-03-07,1900-01-22,1900-01-06,1900-01-24,jueves,2024-06-22,4,44,Italia,Italia,48,Masculino,Tablet,1 Mes,0,1,Mensual,40,2033-12-11,270,Plan Premium,12,2033
40,Básica,11,7,3,24,2024-03-07,1900-01-22,1900-01-06,1900-01-24,jueves,2024-06-22,4,44,Italia,Italia,48,Masculino,Tablet,1 Mes,0,1,Mensual,40,2034-10-08,179,Plan Estándar,10,2034
41,Premium,15,20,1,24,2024-01-20,1900-01-22,1900-01-06,1900-01-24,sábado,2024-06-22,6,90,Italia,Italia,31,Femenino,Ordenador,6 Meses,0,6,Semestral,41,2024-08-11,448,Plan Estándar,8,2024
41,Premium,15,20,1,24,2024-01-20,1900-01-22,1900-01-06,1900-01-24,sábado,2024-06-22,6,90,Italia,Italia,31,Femenino,Ordenador,6 Meses,0,6,Semestral,41,2026-01-27,482,Plan Estándar,1,2026
41,Premium,15,20,1,24,2024-01-20,1900-01-22,1900-01-06,1900-01-24,sábado,2024-06-22,6,90,Italia,Italia,31,Femenino,Ordenador,6 Meses,0,6,Semestral,41,2030-02-22,322,Plan Básico,2,2030
41,Premium,15,20,1,24,2024-01-20,1900-01-22,1900-01-06,1900-01-24,sábado,2024-06-22,6,90,Italia,Italia,31,Femenino,Ordenador,6 Meses,0,6,Semestral,41,2030-05-28,367,Plan Estándar,5,2030
42,Básica,10,15,6,23,2023-06-15,1900-01-28,1900-01-06,1900-01-24,jueves,2024-06-28,13,130,Canadá,Canadá,40,Masculino,Smartphone,3 Meses,0,3,Trimestral,42,2028-06-26,264,Plan Estándar,6,2028
43,Estándar,13,7,2,23,2023-02-07,1900-01-27,1900-01-06,1900-01-24,martes,2024-06-27,17,221,Italia,Italia,36,Femenino,Smart TV,1 Mes,0,1,Mensual,43,2024-11-24,254,Plan Estándar,11,2024
43,Estándar,13,7,2,23,2023-02-07,1900-01-27,1900-01-06,1900-01-24,martes,2024-06-27,17,221,Italia,Italia,36,Femenino,Smart TV,1 Mes,0,1,Mensual,43,2027-12-19,417,Plan Estándar,12,2027
43,Estándar,13,7,2,23,2023-02-07,1900-01-27,1900-01-06,1900-01-24,martes,2024-06-27,17,221,Italia,Italia,36,Femenino,Smart TV,1 Mes,0,1,Mensual,43,2028-08-08,114,Plan Premium,8,2028
43,Estándar,13,7,2,23,2023-02-07,1900-01-27,1900-01-06,1900-01-24,martes,2024-06-27,17,221,Italia,Italia,36,Femenino,Smart TV,1 Mes,0,1,Mensual,43,2032-11-03,22,Plan Premium,11,2032
43,Estándar,13,7,2,23,2023-02-07,1900-01-27,1900-01-06,1900-01-24,martes,2024-06-27,17,221,Italia,Italia,36,Femenino,Smart TV,1 Mes,0,1,Mensual,43,2033-04-11,75,Plan Premium,4,2033
44,Estándar,13,26,4,23,2023-04-26,1900-01-26,1900-01-06,1900-01-24,miércoles,2024-06-26,15,195,EEUU,EEUU,29,Masculino,Tablet,1 Mes,0,1,Mensual,44,2034-01-03,251,Plan Básico,1,2034
45,Básica,11,28,1,24,2024-01-28,1900-01-28,1900-01-06,1900-01-24,domingo,2024-06-28,6,66,EEUU,EEUU,43,Femenino,Ordenador,3 Meses,0,3,Trimestral,45,2036-04-12,103,Plan Estándar,4,2036
47,Básica,10,5,10,23,2023-10-05,1900-01-25,1900-01-06,1900-01-24,jueves,2024-06-25,9,90,Francia,Francia,39,Femenino,Smart TV,12 Meses,0,12,Anual,47,2023-12-26,53,Plan Premium,12,2023
47,Básica,10,5,10,23,2023-10-05,1900-01-25,1900-01-06,1900-01-24,jueves,2024-06-25,9,90,Francia,Francia,39,Femenino,Smart TV,12 Meses,0,12,Anual,47,2026-04-21,257,Plan Premium,4,2026
48,Estándar,13,15,9,22,2022-09-15,1900-01-24,1900-01-06,1900-01-24,jueves,2024-06-24,22,286,España,España,32,Masculino,Tablet,1 Mes,0,1,Mensual,48,2024-12-31,234,Plan Básico,12,2024
48,Estándar,13,15,9,22,2022-09-15,1900-01-24,1900-01-06,1900-01-24,jueves,2024-06-24,22,286,España,España,32,Masculino,Tablet,1 Mes,0,1,Mensual,48,2034-10-18,162,Plan Básico,10,2034
49,Premium,14,10,11,23,2023-11-10,1900-01-23,1900-01-06,1900-01-24,viernes,2024-06-23,8,112,Alemania,Alemania,28,Femenino,Ordenador,3 Meses,0,3,Trimestral,49,2030-11-21,294,Plan Estándar,11,2030
50,Básica,11,2,6,24,2024-06-02,1900-01-22,1900-01-06,1900-01-24,domingo,2024-06-22,1,11,Méjico,Méjico,45,Masculino,Smartphone,12 Meses,0,12,Anual,50,2028-02-28,186,Plan Básico,2,2028
50,Básica,11,2,6,24,2024-06-02,1900-01-22,1900-01-06,1900-01-24,domingo,2024-06-22,1,11,Méjico,Méjico,45,Masculino,Smartphone,12 Meses,0,12,Anual,50,2032-12-20,181,Plan Básico,12,2032
50,Básica,11,2,6,24,2024-06-02,1900-01-22,1900-01-06,1900-01-24,domingo,2024-06-22,1,11,Méjico,Méjico,45,Masculino,Smartphone,12 Meses,0,12,Anual,50,2034-08-05,321,Plan Básico,8,2034
51,Premium,15,27,2,24,2024-02-27,1900-01-22,1900-01-06,1900-01-24,martes,2024-06-22,4,60,Francia,Francia,30,Femenino,Smart TV,1 Mes,0,1,Mensual,51,2023-12-07,117,Plan Estándar,12,2023
51,Premium,15,27,2,24,2024-02-27,1900-01-22,1900-01-06,1900-01-24,martes,2024-06-22,4,60,Francia,Francia,30,Femenino,Smart TV,1 Mes,0,1,Mensual,51,2024-09-28,352,Plan Premium,9,2024
51,Premium,15,27,2,24,2024-02-27,1900-01-22,1900-01-06,1900-01-24,martes,2024-06-22,4,60,Francia,Francia,30,Femenino,Smart TV,1 Mes,0,1,Mensual,51,2025-08-25,193,Plan Básico,8,2025
51,Premium,15,27,2,24,2024-02-27,1900-01-22,1900-01-06,1900-01-24,martes,2024-06-22,4,60,Francia,Francia,30,Femenino,Smart TV,1 Mes,0,1,Mensual,51,2028-01-05,229,Plan Básico,1,2028
53,Estándar,13,13,1,23,2023-01-13,1900-01-27,1900-01-06,1900-01-24,viernes,2024-06-27,18,234,EEUU,EEUU,41,Femenino,Ordenador,1 Mes,0,1,Mensual,53,2031-08-13,194,Plan Estándar,8,2031
53,Estándar,13,13,1,23,2023-01-13,1900-01-27,1900-01-06,1900-01-24,viernes,2024-06-27,18,234,EEUU,EEUU,41,Femenino,Ordenador,1 Mes,0,1,Mensual,53,2034-11-13,46,Plan Premium,11,2034
54,Estándar,12,30,6,23,2023-06-30,1900-01-26,1900-01-06,1900-01-24,viernes,2024-06-26,12,144,Alemania,Alemania,29,Masculino,Smartphone,1 Mes,0,1,Mensual,54,2026-08-01,345,Plan Premium,8,2026
54,Estándar,12,30,6,23,2023-06-30,1900-01-26,1900-01-06,1900-01-24,viernes,2024-06-26,12,144,Alemania,Alemania,29,Masculino,Smartphone,1 Mes,0,1,Mensual,54,2034-01-18,376,Plan Básico,1,2034
55,Básica,11,20,4,24,2024-04-20,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,3,33,Australia,Australia,39,Femenino,Smart TV,1 Mes,0,1,Mensual,55,2025-11-12,280,Plan Premium,11,2025
55,Básica,11,20,4,24,2024-04-20,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,3,33,Australia,Australia,39,Femenino,Smart TV,1 Mes,0,1,Mensual,55,2025-11-19,199,Plan Estándar,11,2025
55,Básica,11,20,4,24,2024-04-20,1900-01-28,1900-01-06,1900-01-24,sábado,2024-06-28,3,33,Australia,Australia,39,Femenino,Smart TV,1 Mes,0,1,Mensual,55,2026-03-02,10,Plan Básico,3,2026
56,Premium,15,15,3,23,2023-03-15,1900-01-27,1900-01-06,1900-01-24,miércoles,2024-06-27,16,240,Canadá,Canadá,36,Masculino,Tablet,3 Meses,0,3,Trimestral,56,2025-01-11,199,Plan Estándar,1,2025
57,Básica,10,1,10,23,2023-10-01,1900-01-25,1900-01-06,1900-01-24,domingo,2024-06-25,9,90,Australia,Australia,46,Femenino,Ordenador,1 Mes,0,1,Mensual,57,2031-06-04,31,Plan Estándar,6,2031
59,Premium,15,3,12,23,2023-12-03,1900-01-23,1900-01-06,1900-01-24,domingo,2024-06-23,7,105,Australia,Australia,27,Femenino,Smart TV,6 Meses,0,6,Semestral,59,2031-02-11,394,Plan Básico,2,2031
60,Básica,11,14,6,24,2024-06-14,1900-01-22,1900-01-06,1900-01-24,viernes,2024-06-22,1,11,Italia,Italia,42,Masculino,Tablet,1 Mes,0,1,Mensual,60,2029-05-16,470,Plan Premium,5,2029
60,Básica,11,14,6,24,2024-06-14,1900-01-22,1900-01-06,1900-01-24,viernes,2024-06-22,1,11,Italia,Italia,42,Masculino,Tablet,1 Mes,0,1,Mensual,60,2036-08-05,57,Plan Premium,8,2036
61,Premium,15,8,2,24,2024-02-08,1900-01-22,1900-01-06,1900-01-24,jueves,2024-06-22,5,75,EEUU,EEUU,28,Femenino,Ordenador,12 Meses,0,12,Anual,61,2024-12-10,101,Plan Estándar,12,2024
61,Premium,15,8,2,24,2024-02-08,1900-01-22,1900-01-06,1900-01-24,jueves,2024-06-22,5,75,EEUU,EEUU,28,Femenino,Ordenador,12 Meses,0,12,Anual,61,2026-03-21,473,Plan Básico,3,2026
61,Premium,15,8,2,24,2024-02-08,1900-01-22,1900-01-06,1900-01-24,jueves,2024-06-22,5,75,EEUU,EEUU,28,Femenino,Ordenador,12 Meses,0,12,Anual,61,2033-05-04,191,Plan Estándar,5,2033
